 -222    0    -1020000030        anti_Xi-tribaryon
 -221    0    -1020000021         anti_Xi-dibaryon
 -220    0    -1020000020          anti_H-dibaryon
 -213    1    -1010010040            anti_Hyper???
 -211    0    -1010010030         anti_Hypertriton
 -203    0    -1000020040             anti_Helium4
 -202   -1    -1000020030             anti_Helium3
 -201    1    -1000010030              anti_Triton
 -200    0    -1000010020            anti_Deuteron
 -139    0           -433                     Ds*-
 -138    0           -431                      Ds-
 -134   -1         -10411                D*(2400)-
 -134    1         -10421           anti_D*(2400)0
 -133   -1           -411                       D-
 -133    1           -421                  anti_D0
 -129   -1         -30323            k_star(1680)-
 -129    1         -30313       anti_k_star(1680)0
 -125   -1        -100323            k_star(1410)-
 -125    1        -100313       anti_k_star(1410)0
 -121   -1         -20323                k1(1400)-
 -121    1         -20313           anti_k1(1400)0
 -117   -1           -325           k2_star(1430)-
 -117    1           -315      anti_k2_star(1430)0
 -113   -1         -10323                k1(1270)-
 -113    1         -10313           anti_k1(1270)0
 -110   -1         -10321           k0_star(1430)-
 -110    1         -10311      anti_k0_star(1430)0
 -108   -1           -323                  k_star-
 -108    1           -313             anti_k_star0
 -106   -1           -321                    kaon-
 -106    1           -311               anti_kaon0
  -70    0          -4122           anti_lambda_c+
  -69    0          -3334              anti_omega-
  -68   -1         -13326           anti_xi(2030)0
  -68    1         -13316           anti_xi(2030)-
  -67   -1         -33324           anti_xi(1950)0
  -67    1         -33314           anti_xi(1950)-
  -66   -1         -13324           anti_xi(1820)0
  -66    1         -13314           anti_xi(1820)-
  -65   -1         -23324           anti_xi(1690)0
  -65    1         -23314           anti_xi(1690)-
  -64   -1          -3324           anti_xi(1530)0
  -64    1          -3314           anti_xi(1530)-
  -63   -1          -3322                 anti_xi0
  -63    1          -3312                 anti_xi-
  -62   -2          -3228        anti_sigma(2030)+
  -62    0          -3218        anti_sigma(2030)0
  -62    2          -3118        anti_sigma(2030)-
  -61   -2         -23224        anti_sigma(1940)+
  -61    0         -23214        anti_sigma(1940)0
  -61    2         -23114        anti_sigma(1940)-
  -60   -2         -13226        anti_sigma(1915)+
  -60    0         -13216        anti_sigma(1915)0
  -60    2         -13116        anti_sigma(1915)-
  -59   -2          -3226        anti_sigma(1775)+
  -59    0          -3216        anti_sigma(1775)0
  -59    2          -3116        anti_sigma(1775)-
  -58   -2         -23222        anti_sigma(1750)+
  -58    0         -23212        anti_sigma(1750)0
  -58    2         -23112        anti_sigma(1750)-
  -57   -2         -13224        anti_sigma(1670)+
  -57    0         -13214        anti_sigma(1670)0
  -57    2         -13114        anti_sigma(1670)-
  -56   -2         -13222        anti_sigma(1660)+
  -56    0         -13212        anti_sigma(1660)0
  -56    2         -13112        anti_sigma(1660)-
  -55   -2          -3224        anti_sigma(1385)+
  -55    0          -3214        anti_sigma(1385)0
  -55    2          -3114        anti_sigma(1385)-
  -54   -2          -3222              anti_sigma+
  -54    0          -3212              anti_sigma0
  -54    2          -3112              anti_sigma-
  -53    0         -23126        anti_lambda(2110)
  -52    0          -3128        anti_lambda(2100)
  -51    0         -23124        anti_lambda(1890)
  -50    0         -13126        anti_lambda(1830)
  -49    0          -3126        anti_lambda(1820)
  -48    0         -53122        anti_lambda(1810)
  -47    0         -43122        anti_lambda(1800)
  -46    0         -13124        anti_lambda(1690)
  -45    0         -33122        anti_lambda(1670)
  -44    0         -23122        anti_lambda(1600)
  -43    0          -3124        anti_lambda(1520)
  -42    0         -13122        anti_lambda(1405)
  -41    0          -3122              anti_lambda
  -40   -3              0       anti_delta(3700)++
  -40   -1              0        anti_delta(3700)+
  -40    1              0        anti_delta(3700)0
  -40    3              0        anti_delta(3700)-
  -39   -3              0       anti_delta(3700)++
  -39   -1              0        anti_delta(3700)+
  -39    1              0        anti_delta(3700)0
  -39    3              0        anti_delta(3700)-
  -38   -3              0       anti_delta(3500)++
  -38   -1              0        anti_delta(3500)+
  -38    1              0        anti_delta(3500)0
  -38    3              0        anti_delta(3500)-
  -37   -3              0       anti_delta(3300)++
  -37   -1              0        anti_delta(3300)+
  -37    1              0        anti_delta(3300)0
  -37    3              0        anti_delta(3300)-
  -36   -3              0       anti_delta(2950)++
  -36   -1              0        anti_delta(2950)+
  -36    1              0        anti_delta(2950)0
  -36    3              0        anti_delta(2950)-
  -35   -3              0       anti_delta(2750)++
  -35   -1              0        anti_delta(2750)+
  -35    1              0        anti_delta(2750)0
  -35    3              0        anti_delta(2750)-
  -34   -3              0       anti_delta(2420)++
  -34   -1              0        anti_delta(2420)+
  -34    1              0        anti_delta(2420)0
  -34    3              0        anti_delta(2420)-
  -33   -3          -2228       anti_delta(1950)++
  -33   -1          -2218        anti_delta(1950)+
  -33    1          -2118        anti_delta(1950)0
  -33    3          -1118        anti_delta(1950)-
  -32   -3         -12226       anti_delta(1930)++
  -32   -1         -12126        anti_delta(1930)+
  -32    1         -11216        anti_delta(1930)0
  -32    3         -11116        anti_delta(1930)-
  -31   -3         -22224       anti_delta(1920)++
  -31   -1         -22214        anti_delta(1920)+
  -31    1         -22114        anti_delta(1920)0
  -31    3         -21114        anti_delta(1920)-
  -30   -3         -22222       anti_delta(1910)++
  -30   -1         -22122        anti_delta(1910)+
  -30    1         -21212        anti_delta(1910)0
  -30    3         -21112        anti_delta(1910)-
  -29   -3          -2226       anti_delta(1905)++
  -29   -1          -2126        anti_delta(1905)+
  -29    1          -1216        anti_delta(1905)0
  -29    3          -1116        anti_delta(1905)-
  -28   -3         -12222       anti_delta(1900)++
  -28   -1         -12122        anti_delta(1900)+
  -28    1         -11212        anti_delta(1900)0
  -28    3         -11112        anti_delta(1900)-
  -27   -3         -12224       anti_delta(1700)++
  -27   -1         -12214        anti_delta(1700)+
  -27    1         -12114        anti_delta(1700)0
  -27    3         -11114        anti_delta(1700)-
  -26   -3          -2222       anti_delta(1620)++
  -26   -1          -2122        anti_delta(1620)+
  -26    1          -1212        anti_delta(1620)0
  -26    3          -1112        anti_delta(1620)-
  -25   -3         -32224       anti_delta(1600)++
  -25   -1         -32214        anti_delta(1600)+
  -25    1         -32114        anti_delta(1600)0
  -25    3         -31114        anti_delta(1600)-
  -24   -3          -2224             anti_delta++
  -24   -1          -2214              anti_delta+
  -24    1          -2114              anti_delta0
  -24    3          -1114              anti_delta-
  -23   -1              0            anti_N(4100)+
  -23    1              0            anti_N(4100)0
  -22   -1              0            anti_N(3800)+
  -22    1              0            anti_N(3800)0
  -21   -1              0            anti_N(3500)+
  -21    1              0            anti_N(3500)0
  -20   -1              0            anti_N(3100)+
  -20    1              0            anti_N(3100)0
  -19   -1              0            anti_N(2700)+
  -19    1              0            anti_N(2700)0
  -18   -1              0            anti_N(1875)+
  -18    1              0            anti_N(1875)0
  -17   -1              0            anti_N(2600)+
  -17    1              0            anti_N(2600)0
  -16   -1     -100012210            anti_N(2250)+
  -16    1     -100012110            anti_N(2250)0
  -15   -1     -100002210            anti_N(2220)+
  -15    1     -100002110            anti_N(2220)0
  -14   -1          -2128            anti_N(2190)+
  -14    1          -1218            anti_N(2190)0
  -13   -1         -52214            anti_N(2090)+
  -13    1         -52114            anti_N(2090)0
  -12   -1         -12218            anti_N(1990)+
  -12    1         -12118            anti_N(1990)0
  -11   -1         -42124            anti_N(1900)+
  -11    1         -41214            anti_N(1900)0
  -10   -1         -32124            anti_N(1720)+
  -10    1         -31214            anti_N(1720)0
   -9   -1         -42212            anti_N(1710)+
   -9    1         -42112            anti_N(1710)0
   -8   -1         -22124            anti_N(1700)+
   -8    1         -21214            anti_N(1700)0
   -7   -1         -12216            anti_N(1680)+
   -7    1         -12116            anti_N(1680)0
   -6   -1          -2216            anti_N(1675)+
   -6    1          -2116            anti_N(1675)0
   -5   -1         -32212            anti_N(1650)+
   -5    1         -32112            anti_N(1650)0
   -4   -1         -22212            anti_N(1535)+
   -4    1         -22112            anti_N(1535)0
   -3   -1          -2124            anti_N(1520)+
   -3    1          -1214            anti_N(1520)0
   -2   -1         -12212            anti_N(1440)+
   -2    1         -12112            anti_N(1440)0
   -1   -1          -2212              anti_Proton
   -1    1          -2112             anti_Neutron
